Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
jgit,RandomForest,0,model1,NONE,0.7293447293447293,0.593313981851888,0.7387261602063048,[0.82851986 0.35810811],0.7293447293447294,0.39552238805970147,0.8080985915492958,0.6018104898044986,"[459, 109, 81, 53]"
jgit,DT,0,model1,NONE,0.6780626780626781,0.5988165680473372,0.7090499390302151,[0.77712032 0.42051282],0.6780626780626781,0.6119402985074627,0.6936619718309859,0.6528011351692243,"[394, 174, 52, 82]"
jgit,LogisticRegression,0,model1,NONE,0.5555555555555556,0.49892475086248705,0.6030678408488926,[0.6673774 0.3304721],0.5555555555555556,0.5746268656716418,0.551056338028169,0.5628416018499054,"[313, 255, 57, 77]"
jgit,MLP,0,model1,NONE,0.7991452991452992,0.5305416826738378,0.7500783484904371,[0.88564477 0.1754386 ],0.7991452991452992,0.11194029850746269,0.9612676056338029,0.5366039520706327,"[546, 22, 119, 15]"
jgit,RandomForest,0,model2,NONE,0.7250712250712252,0.5858660268068652,0.7343059679536273,[0.82596934 0.34576271],0.7250712250712251,0.3805970149253731,0.8063380281690141,0.5934675215471936,"[458, 110, 83, 51]"
jgit,DT,0,model2,NONE,0.6894586894586895,0.6040752545740541,0.7177452261689367,[0.78793774 0.42021277],0.6894586894586895,0.5895522388059702,0.7130281690140845,0.6512902039100273,"[405, 163, 55, 79]"
jgit,LogisticRegression,0,model2,NONE,0.6082621082621082,0.5518833434307561,0.650149945586607,[0.7108307  0.39293598],0.6082621082621082,0.664179104477612,0.5950704225352113,0.6296247635064116,"[338, 230, 45, 89]"
jgit,MLP,0,model2,NONE,0.7962962962962963,0.5421913122791016,0.7530547215782651,[0.88326531 0.20111732],0.7962962962962963,0.13432835820895522,0.9524647887323944,0.5433965734706748,"[541, 27, 116, 18]"
jgit,RandomForest,0,model3,NONE,0.5783475783475783,0.540283185840708,0.622065098454479,[0.67256637 0.408     ],0.5783475783475783,0.7611940298507462,0.5352112676056338,0.64820264872819,"[304, 264, 32, 102]"
jgit,DT,0,model3,NONE,0.5641025641025641,0.52964721132287,0.6083504908301713,[0.65695067 0.40234375],0.5641025641025641,0.7686567164179104,0.5158450704225352,0.6422508934202228,"[293, 275, 31, 103]"
jgit,LogisticRegression,0,model3,NONE,0.5213675213675214,0.4984690753214942,0.5647219125479995,[0.6056338  0.39130435],0.5213675213675214,0.8059701492537313,0.45422535211267606,0.6300977506832037,"[258, 310, 26, 108]"
jgit,MLP,0,model3,NONE,0.8091168091168092,0.447244094488189,0.7237454292572404,[0.89448819 0.        ],0.8091168091168092,0.0,1.0,0.5,"[568, 0, 134, 0]"
jgit,DT,0,model1,ROS,0.698005698005698,0.6082630531602389,0.7241806360856237,[0.79576108 0.42076503],0.698005698005698,0.5746268656716418,0.727112676056338,0.6508697708639899,"[413, 155, 57, 77]"
jgit,RandomForest,0,model1,ROS,0.698005698005698,0.6096399194225282,0.7244625179407788,[0.7953668  0.42391304],0.698005698005698,0.582089552238806,0.7253521126760564,0.6537208324574311,"[412, 156, 56, 78]"
jgit,LogisticRegression,0,model1,ROS,0.5726495726495726,0.5094339622641509,0.6183052912612661,[0.68553459 0.33333333],0.5726495726495726,0.5597014925373134,0.5757042253521126,0.5677028589447131,"[327, 241, 59, 75]"
jgit,MLP,0,model1,ROS,0.6794871794871795,0.5820134803629695,0.7068028178848195,[0.78386167 0.38016529],0.6794871794871795,0.5149253731343284,0.7183098591549296,0.6166176161446288,"[408, 160, 65, 69]"
jgit,DT,0,model2,ROS,0.6866096866096866,0.6082271288253918,0.7165648042342581,[0.78346457 0.43298969],0.6866096866096866,0.6268656716417911,0.7007042253521126,0.6637849484969519,"[398, 170, 50, 84]"
jgit,RandomForest,0,model2,ROS,0.6951566951566952,0.6059572771529294,0.721863107732673,[0.79343629 0.41847826],0.6951566951566952,0.5746268656716418,0.7235915492957746,0.6491092074837082,"[411, 157, 57, 77]"
jgit,LogisticRegression,0,model2,ROS,0.6068376068376068,0.5486792452830189,0.6488408679603648,[0.71069182 0.38666667],0.6068376068376068,0.6492537313432836,0.596830985915493,0.6230423586293883,"[339, 229, 47, 87]"
jgit,MLP,0,model2,ROS,0.6709401709401709,0.5931251646573246,0.703130743571837,[0.77106046 0.41518987],0.6709401709401709,0.6119402985074627,0.6848591549295775,0.6483997267185201,"[389, 179, 52, 82]"
jgit,DT,0,model3,ROS,0.5641025641025641,0.52964721132287,0.6083504908301713,[0.65695067 0.40234375],0.5641025641025641,0.7686567164179104,0.5158450704225352,0.6422508934202228,"[293, 275, 31, 103]"
jgit,RandomForest,0,model3,ROS,0.5641025641025641,0.52964721132287,0.6083504908301713,[0.65695067 0.40234375],0.5641025641025641,0.7686567164179104,0.5158450704225352,0.6422508934202228,"[293, 275, 31, 103]"
jgit,LogisticRegression,0,model3,ROS,0.5213675213675214,0.4984690753214942,0.5647219125479995,[0.6056338  0.39130435],0.5213675213675214,0.8059701492537313,0.45422535211267606,0.6300977506832037,"[258, 310, 26, 108]"
jgit,MLP,0,model3,ROS,0.5085470085470085,0.4878870344643843,0.5514787277399796,[0.59074733 0.38502674],0.5085470085470085,0.8059701492537313,0.43838028169014087,0.6221752154719361,"[249, 319, 26, 108]"
jgit,RandomForest,0,model1,SMOTE,0.7649572649572649,0.6117295682867228,0.7625250792958279,[0.85564304 0.36781609],0.7649572649572649,0.3582089552238806,0.8609154929577465,0.6095622240908135,"[489, 79, 86, 48]"
jgit,DT,0,model1,SMOTE,0.7478632478632478,0.5975748389541493,0.7496148610206965,[0.84350133 0.35164835],0.7478632478632479,0.3582089552238806,0.8397887323943662,0.5989988438091234,"[477, 91, 86, 48]"
jgit,LogisticRegression,0,model1,SMOTE,0.5726495726495726,0.5128247834776816,0.6183693302280912,[0.6835443  0.34210526],0.5726495726495726,0.582089552238806,0.5704225352112676,0.5762560437250368,"[324, 244, 56, 78]"
jgit,MLP,0,model1,SMOTE,0.6623931623931624,0.5799516767950151,0.6949986374046482,[0.76604146 0.39386189],0.6623931623931624,0.5746268656716418,0.6830985915492958,0.6288627286104688,"[388, 180, 57, 77]"
jgit,RandomForest,0,model2,SMOTE,0.7678062678062679,0.6118244515382711,0.7639505375164972,[0.85789015 0.36575875],0.7678062678062678,0.35074626865671643,0.8661971830985915,0.608471725877654,"[492, 76, 87, 47]"
jgit,DT,0,model2,SMOTE,0.6994301994301995,0.5776088971269694,0.717848804818221,[0.80444856 0.35076923],0.6994301994301995,0.4253731343283582,0.7640845070422535,0.5947288206853059,"[434, 134, 77, 57]"
jgit,LogisticRegression,0,model2,SMOTE,0.6025641025641025,0.5504575574442886,0.645077810925457,[0.70350691 0.39740821],0.6025641025641025,0.6865671641791045,0.5827464788732394,0.634656821526172,"[331, 237, 42, 92]"
jgit,MLP,0,model2,SMOTE,0.6467236467236467,0.5715804394046775,0.6825061263993464,[0.75100402 0.39215686],0.6467236467236467,0.5970149253731343,0.6584507042253521,0.6277328147992433,"[374, 194, 54, 80]"
jgit,RandomForest,0,model3,SMOTE,0.5754985754985755,0.537998780929497,0.6193733351443972,[0.66962306 0.4063745 ],0.5754985754985755,0.7611940298507462,0.5316901408450704,0.6464420853479084,"[302, 266, 32, 102]"
jgit,DT,0,model3,SMOTE,0.5754985754985755,0.537998780929497,0.6193733351443972,[0.66962306 0.4063745 ],0.5754985754985755,0.7611940298507462,0.5316901408450704,0.6464420853479084,"[302, 266, 32, 102]"
jgit,LogisticRegression,0,model3,SMOTE,0.5213675213675214,0.4984690753214942,0.5647219125479995,[0.6056338  0.39130435],0.5213675213675214,0.8059701492537313,0.45422535211267606,0.6300977506832037,"[258, 310, 26, 108]"
jgit,MLP,0,model3,SMOTE,0.5085470085470085,0.4878870344643843,0.5514787277399796,[0.59074733 0.38502674],0.5085470085470085,0.8059701492537313,0.43838028169014087,0.6221752154719361,"[249, 319, 26, 108]"
jgit,RandomForest,0,model1,ADA,0.7606837606837606,0.610396818055684,0.7599943710386777,[0.85237258 0.36842105],0.7606837606837606,0.3656716417910448,0.8538732394366197,0.6097724406138323,"[485, 83, 85, 49]"
jgit,DT,0,model1,ADA,0.7564102564102565,0.5877721039961814,0.7507764651269354,[0.85143354 0.32411067],0.7564102564102564,0.30597014925373134,0.8626760563380281,0.5843231027958797,"[490, 78, 93, 41]"
jgit,LogisticRegression,0,model1,ADA,0.5641025641025641,0.5126990608411597,0.6105460802071663,[0.67096774 0.35443038],0.5641025641025641,0.6268656716417911,0.5492957746478874,0.5880807231448392,"[312, 256, 50, 84]"
jgit,MLP,0,model1,ADA,0.6538461538461539,0.5758708910674459,0.6883003397251177,[0.75772682 0.39401496],0.6538461538461539,0.5895522388059702,0.6690140845070423,0.6292831616565062,"[380, 188, 55, 79]"
jgit,RandomForest,0,model2,ADA,0.7592592592592593,0.6069441913628307,0.7582136180608856,[0.85162423 0.36226415],0.7592592592592593,0.3582089552238806,0.8538732394366197,0.6060410973302501,"[485, 83, 86, 48]"
jgit,DT,0,model2,ADA,0.7307692307692306,0.567884628537371,0.7319029983021672,[0.83318623 0.30258303],0.7307692307692307,0.30597014925373134,0.8309859154929577,0.5684780323733446,"[472, 96, 93, 41]"
jgit,LogisticRegression,0,model2,ADA,0.5982905982905983,0.5461206896551725,0.641254052460949,[0.7        0.39224138],0.5982905982905983,0.6791044776119403,0.579225352112676,0.6291649148623082,"[329, 239, 43, 91]"
jgit,MLP,0,model2,ADA,0.6481481481481481,0.5763469286532791,0.6841729814587227,[0.75075681 0.40193705],0.6481481481481481,0.6194029850746269,0.6549295774647887,0.6371662812697078,"[372, 196, 51, 83]"
jgit,RandomForest,0,model3,ADA,0.5783475783475783,0.540283185840708,0.622065098454479,[0.67256637 0.408     ],0.5783475783475783,0.7611940298507462,0.5352112676056338,0.64820264872819,"[304, 264, 32, 102]"
